"metaboliteId"	"massFraction"
"PUTRESCINE[c]"	0.34839254060000002
"SPERMIDINE[c]"	0.1161308469
"ACETYL-COA[c]"	0.026115657300000001
"CO-A[c]"	0.0148516941
"SUC-COA[c]"	0.009843503
"MALONYL-COA[c]"	0.0030810912999999999
"NAD[c]"	0.1374440284
"NADH[c]"	0.0034413294000000001 # TODO
"NADP[c]"	0.0096012716000000008
"NADPH[c]"	0.028843029999999999 # TODO
"FAD[c]"	0.020321832500000001
"THF[c]"	0.011500491999999999
"METHYLENE-THF[c]"	0.011812007899999999
"5MTHF[c]"	0.011890438099999999 # TODO
"THMPP[c]"	0.010952596300000001 # TODO
"Q8H2[c]"	0.018910972000000002 # TODO
"2DMMQL8[c]"	0.018288017899999998 # TODO
"MQL8[c]"	0.018651820600000001 # TODO
"PYDX5P[c]"	0.0063575866999999999 # TODO
"HEMEO[c]"	0.021706910100000001 # TODO
"PROTOHEME[c]"	0.017912022699999999
"SIROHEME[c]"	0.0235678621
"ENTEROBACTIN[c]"	0.017365426400000002
"GTHRD[c]"	0.0079446555999999995 # TODO
"ADOCBL[c]"	0.040968543099999997 # TODO
"UNDECAPRENYL-DIPHOSPHATE[c]"	0.0059412633999999997
"10FTHF[c]"	0.0122269562 # TODO
"CHORISMATE[c]"	0.0058139964000000002
"AMET[c]"	0.0103601428 # TODO
"RIBOFLAVIN[c]"	0.0097614646999999999
