Frame ID	Name	Unmodified Form	Location	Reaction ID	Reaction Enzyme	Reaction	Mass Balance?	Comments
BCCP-BIOTIN-CO2	biotin carboxyl carrier protein (dimer)	BCCP-CPLX	"[""CCO-CYTOSOL""]"	"[""BIOTIN-CARBOXYL-RXN"", ""RXN0-5055""]"	"[[""BIOTIN-CARBOXYL-CPLX""], [""ACETYL-COA-CARBOXYLTRANSFER-CPLX""]]"	"[""[c]: BCCP-CPLX + HCO3 + atp <==> pi + BCCP-BIOTIN-CO2 + adp + PROTON"", ""[c]: accoa + BCCP-BIOTIN-CO2 <==> MALONYL-COA + BCCP-CPLX""]"	"[""The right side is missing:  S: 1  BCCP-monomers: 1  O: 2  N: 3  H: 16  C: 10"", ""The left side is missing:  BCCP-monomers: 1  S: 1  O: 2  N: 3  H: 16  C: 10""]"	[null, null]	
CPLX0-2	reduced flavorubredoxin	CPLX0-1	"[""CCO-CYTOSOL""]"	[]	[]	[]	[]	[]	
CPLX0-2821	TorR transcriptional dual regulator	TORR-CPLX	"[""CCO-CYTOSOL""]"	"[""RXN0-3141""]"	[[]]	"[""[c]: TORR-CPLX + MONOMER0-1641 <==> CPLX0-2821""]"	"[""Undetermined; a substrate lacks a chemical formula""]"	[null]	
CPLX0-7657	BglG transcriptional antiterminator	CPLX0-2861	"[""CCO-CYTOSOL""]"	"[""RXN0-5322""]"	[[]]	"[""[c]: CPLX0-2861 + pi <==> CPLX0-7657""]"	"[""Undetermined; a substrate lacks a chemical formula""]"	[null]	
CPLX0-7978	RcsB-phosphorylated DNA-binding transcriptional activator	CPLX0-7884	"[""CCO-CYTOSOL""]"	"[""RXN0-6995""]"	[[]]	"[""[c]: CPLX0-7884 + pi <==> CPLX0-7978""]"	"[""Undetermined; a substrate lacks a chemical formula""]"	[null]	
CPLX0-8002	protein disulfide isomerase/protein disulfide oxidoreductase - DsbCreduced	DSBC-CPLX	"[""CCO-PERI-BAC""]"	"[""DSBDC-RXN""]"	[[]]	"[""[p]: DSBD-MONOMER + CPLX0-8002 <==> DSBDOXI-MONOMER + DSBC-CPLX""]"	"[""Undetermined; a substrate lacks a chemical formula""]"	[null]	
CPLX0-8004	DsbGreduced	DSBG-CPLX	"[""CCO-PERI-BAC""]"	"[""DSBD-RXN""]"	[[]]	"[""[p]: CPLX0-8004 + DSBD-MONOMER <==> DSBG-MONOMER + DSBDOXI-MONOMER""]"	"[""Undetermined; a substrate lacks a chemical formula""]"	[null]	
ENTB-CPLX	apo-EntB multimer	APO-ENTB	"[""CCO-CYTOSOL""]"	"[""ENTDB-RXN"", ""RXN0-6442""]"	"[[""ENTD-MONOMER""], [""ENTE-CPLX""]]"	"[""[c]: Apo-Aryl-Carrier-Proteins + APO-ENTB + coa ==> Holo-Aryl-Carrier-Proteins + pap + ENTB-CPLX"", ""[c]: ENTB-CPLX + 2-3-DIHYDROXYBENZOATE + atp <==> CPLX0-7849 + amp + ppi""]"	"[""Undetermined; a substrate lacks a chemical formula"", ""Undetermined; a substrate lacks a chemical formula""]"	[null, null]	
ISOCITHASE-P	isocitrate dehydrogenase	ISOCITHASE-CPLX	"[""CCO-CYTOSOL""]"	"[""PHOSICITDEHASE-RXN""]"	"[[""CPLX0-230""]]"	"[""[c]: ISOCITHASE-CPLX + atp <==> adp + ISOCITHASE-P""]"	"[""Undetermined; a substrate lacks a chemical formula""]"	[null]	
MONOMER0-2863	ribonucleoside-triphosphate reductase	RIBONUCLEOSIDE-TRIP-REDUCT-CPLX	"[""CCO-CYTOSOL""]"	[]	[]	[]	[]	[]	
PHOSPHO-ATOS	AtoS sensory histidine kinase	CPLX0-7870	"[""CCO-PM-BAC-NEG""]"	"[""RXN0-6502""]"	[[]]	"[""[i]: atp + ATOS-MONOMER ==> adp + PHOSPHO-ATOS""]"	"[""The right side is missing:  P: 1  O: 3""]"	[null]	
PHOSPHO-CREC	CreC sensory histidine kinase	CREC-CPLX	"[""CCO-PM-BAC-NEG""]"	"[""CREC-RXN""]"	[[]]	"[""[i]: CREC-MONOMER + atp ==> adp + PHOSPHO-CREC""]"	"[""The right side is missing:  P: 1  O: 3""]"	[null]	
PHOSPHO-ENVZ	EnvZ sensory histidine kinase	ENVZ-CPLX	"[""CCO-PM-BAC-NEG""]"	"[""ENVZ-RXN""]"	[[]]	"[""[i]: atp + ENVZ-MONOMER ==> adp + PHOSPHO-ENVZ""]"	"[""The right side is missing:  P: 1  O: 3""]"	[null]	
PHOSPHO-KDPD	KdpD sensory histidine kinase	KDPD-CPLX	"[""CCO-PM-BAC-NEG""]"	"[""KDPD-RXN""]"	[[]]	"[""[i]: KDPD-MONOMER + atp ==> adp + PHOSPHO-KDPD""]"	"[""The right side is missing:  P: 1  O: 3""]"	[null]	
PHOSPHO-PHOR	PhoR sensory histidine kinase	PHOR-CPLX	"[""CCO-PM-BAC-NEG""]"	"[""PHOR-RXN""]"	[[]]	"[""[i]: PHOR-MONOMER + atp ==> adp + PHOSPHO-PHOR""]"	"[""Undetermined; a substrate lacks a chemical formula""]"	[null]	
PHOSPHO-TORR	TorR transcriptional dual regulator	TORR-CPLX	"[""CCO-CYTOSOL""]"	"[""RXN0-6519""]"	[[]]	"[""[c]: PHOSPHO-TORS850 + TORR-CPLX ==> TORS-CPLX + PHOSPHO-TORR""]"	"[""Undetermined; a substrate lacks a chemical formula""]"	[null]	
PROTEIN-NRIIP	NtrB sensory histidine kinase	GLNL-CPLX	"[""CCO-PM-BAC-NEG""]"	"[""RXN0-6532""]"	[[]]	"[""[i]: atp + GLNL-CPLX ==> adp + PROTEIN-NRIIP""]"	"[""The right side is missing:  P: 1  O: 3""]"	[null]	
PTSI-PHOSPHORYLATED	phosphoenolpyruvate-protein phosphotransferase PtsI, PTS enzyme I	CPLX0-7938	"[""CCO-CYTOSOL""]"	"[""RXN0-6717"", ""RXN0-6718""]"	[[], []]	"[""[c]: pep + PTSI-MONOMER <==> pyr + PTSI-PHOSPHORYLATED"", ""[c]: PTSI-PHOSPHORYLATED + PTSH-MONOMER <==> PTSH-PHOSPHORYLATED + PTSI-MONOMER""]"	"[""Undetermined; a substrate lacks a chemical formula"", ""Undetermined; a substrate lacks a chemical formula""]"	[null, null]	
