Frame ID	Name	Unmodified Form	Location	Reaction ID	Reaction Enzyme	EC	Reaction	Mass balance?	EC	Comments
CHARGED-FMETV-TRNA	tRNAmetV	RNA0-306	"[""CCO-CYTOSOL""]"	[]	[]	[]	[]	[]	[]	
CHARGED-FMETW-TRNA	tRNAmetW	metW-tRNA	"[""CCO-CYTOSOL""]"	[]	[]	[]	[]	[]	[]	
CHARGED-FMETY-TRNA	tRNAmetY	metY-tRNA	"[""CCO-CYTOSOL""]"	[]	[]	[]	[]	[]	[]	
CHARGED-FMETZ-TRNA	tRNAmetZ	metZ-tRNA	"[""CCO-CYTOSOL""]"	[]	[]	[]	[]	[]	[]	
RNA0-309	tRNAileY	RNA0-305	"[""CCO-CYTOSOL""]"	"[""ISOLEUCINE--TRNA-LIGASE-RXN""]"	"[[""ILES-MONOMER""]]"	[null]	"[""[c]: h + RNA0-305 + ile-L + atp ==> RNA0-309 + ppi + amp""]"	"[""Balanced.""]"	[null]	
RNA0-310	tRNAasnW	RNA0-304	"[""CCO-CYTOSOL""]"	"[""ASPARAGINE--TRNA-LIGASE-RXN""]"	"[[""ASNS-CPLX""]]"	[null]	"[""[c]: h + RNA0-304 + asn-L + atp ==> RNA0-310 + ppi + amp""]"	"[""Balanced.""]"	[null]	
RNA0-311	tRNAvalZ	RNA0-300	"[""CCO-CYTOSOL""]"	"[""VALINE--TRNA-LIGASE-RXN""]"	"[[""VALS-MONOMER""]]"	[null]	"[""[c]: h + RNA0-300 + val-L + atp ==> RNA0-311 + ppi + amp""]"	"[""Balanced.""]"	[null]	
RNA0-312	tRNAlysY	RNA0-301	"[""CCO-CYTOSOL""]"	"[""LYSINE--TRNA-LIGASE-RXN""]"	"[[""LYSS-CPLX"", ""LYSU-CPLX""]]"	[null]	"[""[c]: h + lys-L + RNA0-301 + atp ==> RNA0-312 + ppi + amp""]"	"[""Balanced.""]"	[null]	
RNA0-313	tRNAlysZ	RNA0-302	"[""CCO-CYTOSOL""]"	"[""LYSINE--TRNA-LIGASE-RXN""]"	"[[""LYSS-CPLX"", ""LYSU-CPLX""]]"	[null]	"[""[c]: h + lys-L + RNA0-302 + atp ==> RNA0-313 + ppi + amp""]"	"[""Balanced.""]"	[null]	
RNA0-314	tRNAlysQ	RNA0-303	"[""CCO-CYTOSOL""]"	"[""LYSINE--TRNA-LIGASE-RXN""]"	"[[""LYSS-CPLX"", ""LYSU-CPLX""]]"	[null]	"[""[c]: h + lys-L + RNA0-303 + atp ==> RNA0-314 + ppi + amp""]"	"[""Balanced.""]"	[null]	
RNA0-319	tRNAmetW	metW-tRNA	"[""CCO-CYTOSOL""]"	"[""METHIONINE--TRNA-LIGASE-RXN""]"	"[[""METG-CPLX""]]"	[null]	"[""[c]: h + metW-tRNA + met-L + atp ==> RNA0-319 + ppi + amp""]"	"[""Balanced.""]"	[null]	
RNA0-321	tRNAmetV	RNA0-306	"[""CCO-CYTOSOL""]"	"[""METHIONINE--TRNA-LIGASE-RXN""]"	"[[""METG-CPLX""]]"	[null]	"[""[c]: h + RNA0-306 + met-L + atp ==> RNA0-321 + ppi + amp""]"	"[""Balanced.""]"	[null]	
RNA0-322	tRNAmetY	metY-tRNA	"[""CCO-CYTOSOL""]"	"[""METHIONINE--TRNA-LIGASE-RXN""]"	"[[""METG-CPLX""]]"	[null]	"[""[c]: h + metY-tRNA + met-L + atp ==> RNA0-322 + ppi + amp""]"	"[""Balanced.""]"	[null]	
RNA0-323	tRNAmetZ	metZ-tRNA	"[""CCO-CYTOSOL""]"	"[""METHIONINE--TRNA-LIGASE-RXN""]"	"[[""METG-CPLX""]]"	[null]	"[""[c]: h + metZ-tRNA + met-L + atp ==> RNA0-323 + ppi + amp""]"	"[""Balanced.""]"	[null]	
charged-alaT-tRNA	tRNAalaT	alaT-tRNA	"[""CCO-CYTOSOL""]"	"[""ALANINE--TRNA-LIGASE-RXN""]"	"[[""ALAS-CPLX""]]"	[null]	"[""[c]: h + alaT-tRNA + ala-L + atp ==> charged-alaT-tRNA + ppi + amp""]"	"[""Balanced.""]"	[null]	
charged-alaU-tRNA	tRNAalaU	alaU-tRNA	"[""CCO-CYTOSOL""]"	"[""ALANINE--TRNA-LIGASE-RXN""]"	"[[""ALAS-CPLX""]]"	[null]	"[""[c]: h + alaU-tRNA + ala-L + atp ==> charged-alaU-tRNA + ppi + amp""]"	"[""Balanced.""]"	[null]	
charged-alaV-tRNA	tRNAalaV	alaV-tRNA	"[""CCO-CYTOSOL""]"	"[""ALANINE--TRNA-LIGASE-RXN""]"	"[[""ALAS-CPLX""]]"	[null]	"[""[c]: h + alaV-tRNA + ala-L + atp ==> charged-alaV-tRNA + ppi + amp""]"	"[""Balanced.""]"	[null]	
charged-alaW-tRNA	tRNAalaW	alaW-tRNA	"[""CCO-CYTOSOL""]"	"[""ALANINE--TRNA-LIGASE-RXN""]"	"[[""ALAS-CPLX""]]"	[null]	"[""[c]: h + alaW-tRNA + ala-L + atp ==> charged-alaW-tRNA + ppi + amp""]"	"[""Balanced.""]"	[null]	
charged-alaX-tRNA	tRNAalaX	alaX-tRNA	"[""CCO-CYTOSOL""]"	"[""ALANINE--TRNA-LIGASE-RXN""]"	"[[""ALAS-CPLX""]]"	[null]	"[""[c]: h + alaX-tRNA + ala-L + atp ==> charged-alaX-tRNA + ppi + amp""]"	"[""Balanced.""]"	[null]	
charged-argQ-tRNA	tRNAargQ	argQ-tRNA	"[""CCO-CYTOSOL""]"	"[""ARGININE--TRNA-LIGASE-RXN""]"	"[[""ARGS-MONOMER""]]"	[null]	"[""[c]: h + argQ-tRNA + arg-L + atp ==> charged-argQ-tRNA + ppi + amp""]"	"[""Balanced.""]"	[null]	
charged-argU-tRNA	tRNAargU	argU-tRNA	"[""CCO-CYTOSOL""]"	"[""ARGININE--TRNA-LIGASE-RXN""]"	"[[""ARGS-MONOMER""]]"	[null]	"[""[c]: h + argU-tRNA + arg-L + atp ==> charged-argU-tRNA + ppi + amp""]"	"[""Balanced.""]"	[null]	
charged-argV-tRNA	tRNAargV	argV-tRNA	"[""CCO-CYTOSOL""]"	"[""ARGININE--TRNA-LIGASE-RXN""]"	"[[""ARGS-MONOMER""]]"	[null]	"[""[c]: h + argV-tRNA + arg-L + atp ==> charged-argV-tRNA + ppi + amp""]"	"[""Balanced.""]"	[null]	
charged-argW-tRNA	tRNAargW	argW-tRNA	"[""CCO-CYTOSOL""]"	"[""ARGININE--TRNA-LIGASE-RXN""]"	"[[""ARGS-MONOMER""]]"	[null]	"[""[c]: h + argW-tRNA + arg-L + atp ==> charged-argW-tRNA + ppi + amp""]"	"[""Balanced.""]"	[null]	
charged-argX-tRNA	tRNAargX	argX-tRNA	"[""CCO-CYTOSOL""]"	"[""ARGININE--TRNA-LIGASE-RXN""]"	"[[""ARGS-MONOMER""]]"	[null]	"[""[c]: h + argX-tRNA + arg-L + atp ==> charged-argX-tRNA + ppi + amp""]"	"[""Balanced.""]"	[null]	
charged-argY-tRNA	tRNAargY	argY-tRNA	"[""CCO-CYTOSOL""]"	"[""ARGININE--TRNA-LIGASE-RXN""]"	"[[""ARGS-MONOMER""]]"	[null]	"[""[c]: h + argY-tRNA + arg-L + atp ==> charged-argY-tRNA + ppi + amp""]"	"[""Balanced.""]"	[null]	
charged-argZ-tRNA	tRNAargZ	argZ-tRNA	"[""CCO-CYTOSOL""]"	"[""ARGININE--TRNA-LIGASE-RXN""]"	"[[""ARGS-MONOMER""]]"	[null]	"[""[c]: h + argZ-tRNA + arg-L + atp ==> charged-argZ-tRNA + ppi + amp""]"	"[""Balanced.""]"	[null]	
charged-asnT-tRNA	tRNAasnT	asnT-tRNA	"[""CCO-CYTOSOL""]"	"[""ASPARAGINE--TRNA-LIGASE-RXN""]"	"[[""ASNS-CPLX""]]"	[null]	"[""[c]: h + asnT-tRNA + asn-L + atp ==> charged-asnT-tRNA + ppi + amp""]"	"[""Balanced.""]"	[null]	
charged-asnU-tRNA	tRNAasnU	asnU-tRNA	"[""CCO-CYTOSOL""]"	"[""ASPARAGINE--TRNA-LIGASE-RXN""]"	"[[""ASNS-CPLX""]]"	[null]	"[""[c]: h + asnU-tRNA + asn-L + atp ==> charged-asnU-tRNA + ppi + amp""]"	"[""Balanced.""]"	[null]	
charged-asnV-tRNA	tRNAasnV	asnV-tRNA	"[""CCO-CYTOSOL""]"	"[""ASPARAGINE--TRNA-LIGASE-RXN""]"	"[[""ASNS-CPLX""]]"	[null]	"[""[c]: h + asnV-tRNA + asn-L + atp ==> charged-asnV-tRNA + ppi + amp""]"	"[""Balanced.""]"	[null]	
charged-aspT-tRNA	tRNAaspT	aspT-tRNA	"[""CCO-CYTOSOL""]"	"[""ASPARTATE--TRNA-LIGASE-RXN""]"	"[[""ASPS-CPLX""]]"	[null]	"[""[c]: h + aspT-tRNA + asp-L + atp ==> charged-aspT-tRNA + ppi + amp""]"	"[""Balanced.""]"	[null]	
charged-aspU-tRNA	tRNAaspU	aspU-tRNA	"[""CCO-CYTOSOL""]"	"[""ASPARTATE--TRNA-LIGASE-RXN""]"	"[[""ASPS-CPLX""]]"	[null]	"[""[c]: h + aspU-tRNA + asp-L + atp ==> charged-aspU-tRNA + ppi + amp""]"	"[""Balanced.""]"	[null]	
charged-aspV-tRNA	tRNAaspV	aspV-tRNA	"[""CCO-CYTOSOL""]"	"[""ASPARTATE--TRNA-LIGASE-RXN""]"	"[[""ASPS-CPLX""]]"	[null]	"[""[c]: h + aspV-tRNA + asp-L + atp ==> charged-aspV-tRNA + ppi + amp""]"	"[""Balanced.""]"	[null]	
charged-cysT-tRNA	tRNAcysT	cysT-tRNA	"[""CCO-CYTOSOL""]"	"[""CYSTEINE--TRNA-LIGASE-RXN""]"	"[[""CYSS-MONOMER""]]"	[null]	"[""[c]: h + cysT-tRNA + cys-L + atp ==> charged-cysT-tRNA + ppi + amp""]"	"[""Balanced.""]"	[null]	
charged-glnU-tRNA	tRNAglnU	glnU-tRNA	"[""CCO-CYTOSOL""]"	"[""GLUTAMINE--TRNA-LIGASE-RXN""]"	"[[""GLNS-MONOMER""]]"	[null]	"[""[c]: h + glnU-tRNA + gln-L + atp ==> charged-glnU-tRNA + ppi + amp""]"	"[""Balanced.""]"	[null]	
charged-glnV-tRNA	tRNAglnV	glnV-tRNA	"[""CCO-CYTOSOL""]"	"[""GLUTAMINE--TRNA-LIGASE-RXN""]"	"[[""GLNS-MONOMER""]]"	[null]	"[""[c]: h + glnV-tRNA + gln-L + atp ==> charged-glnV-tRNA + ppi + amp""]"	"[""Balanced.""]"	[null]	
charged-glnW-tRNA	tRNAglnW	glnW-tRNA	"[""CCO-CYTOSOL""]"	"[""GLUTAMINE--TRNA-LIGASE-RXN""]"	"[[""GLNS-MONOMER""]]"	[null]	"[""[c]: h + glnW-tRNA + gln-L + atp ==> charged-glnW-tRNA + ppi + amp""]"	"[""Balanced.""]"	[null]	
charged-glnX-tRNA	tRNAglnX	glnX-tRNA	"[""CCO-CYTOSOL""]"	"[""GLUTAMINE--TRNA-LIGASE-RXN""]"	"[[""GLNS-MONOMER""]]"	[null]	"[""[c]: h + glnX-tRNA + gln-L + atp ==> charged-glnX-tRNA + ppi + amp""]"	"[""Balanced.""]"	[null]	
charged-gltT-tRNA	tRNAgltT	gltT-tRNA	"[""CCO-CYTOSOL""]"	"[""GLUTRNAREDUCT-RXN""]"	"[[""CPLX0-3741""]]"	[null]	"[""[c]: glu1sa + nadp + gltT-tRNA <==> charged-gltT-tRNA + nadph""]"	"[""Balanced.""]"	[null]	
charged-gltU-tRNA	tRNAgltU	gltU-tRNA	"[""CCO-CYTOSOL""]"	"[""GLUTRNAREDUCT-RXN""]"	"[[""CPLX0-3741""]]"	[null]	"[""[c]: glu1sa + nadp + gltU-tRNA <==> charged-gltU-tRNA + nadph""]"	"[""Balanced.""]"	[null]	
charged-gltV-tRNA	tRNAgltV	gltV-tRNA	"[""CCO-CYTOSOL""]"	"[""GLUTRNAREDUCT-RXN""]"	"[[""CPLX0-3741""]]"	[null]	"[""[c]: glu1sa + nadp + gltV-tRNA <==> charged-gltV-tRNA + nadph""]"	"[""Balanced.""]"	[null]	
charged-gltW-tRNA	tRNAgltW	gltW-tRNA	"[""CCO-CYTOSOL""]"	"[""GLUTRNAREDUCT-RXN""]"	"[[""CPLX0-3741""]]"	[null]	"[""[c]: glu1sa + nadp + gltW-tRNA <==> charged-gltW-tRNA + nadph""]"	"[""Balanced.""]"	[null]	
charged-glyT-tRNA	tRNAglyT	glyT-tRNA	"[""CCO-CYTOSOL""]"	"[""GLYCINE--TRNA-LIGASE-RXN""]"	"[[""GLYS-CPLX""]]"	[null]	"[""[c]: h + glyT-tRNA + gly + atp ==> charged-glyT-tRNA + ppi + amp""]"	"[""Balanced.""]"	[null]	
charged-glyU-tRNA	tRNAglyU	glyU-tRNA	"[""CCO-CYTOSOL""]"	"[""GLYCINE--TRNA-LIGASE-RXN""]"	"[[""GLYS-CPLX""]]"	[null]	"[""[c]: h + glyU-tRNA + gly + atp ==> charged-glyU-tRNA + ppi + amp""]"	"[""Balanced.""]"	[null]	
charged-glyV-tRNA	tRNAglyV	glyV-tRNA	"[""CCO-CYTOSOL""]"	"[""GLYCINE--TRNA-LIGASE-RXN""]"	"[[""GLYS-CPLX""]]"	[null]	"[""[c]: h + glyV-tRNA + gly + atp ==> charged-glyV-tRNA + ppi + amp""]"	"[""Balanced.""]"	[null]	
charged-glyW-tRNA	tRNAglyW	glyW-tRNA	"[""CCO-CYTOSOL""]"	"[""GLYCINE--TRNA-LIGASE-RXN""]"	"[[""GLYS-CPLX""]]"	[null]	"[""[c]: h + glyW-tRNA + gly + atp ==> charged-glyW-tRNA + ppi + amp""]"	"[""Balanced.""]"	[null]	
charged-glyX-tRNA	tRNAglyX	glyX-tRNA	"[""CCO-CYTOSOL""]"	"[""GLYCINE--TRNA-LIGASE-RXN""]"	"[[""GLYS-CPLX""]]"	[null]	"[""[c]: h + glyX-tRNA + gly + atp ==> charged-glyX-tRNA + ppi + amp""]"	"[""Balanced.""]"	[null]	
charged-glyY-tRNA	tRNAglyY	glyY-tRNA	"[""CCO-CYTOSOL""]"	"[""GLYCINE--TRNA-LIGASE-RXN""]"	"[[""GLYS-CPLX""]]"	[null]	"[""[c]: h + glyY-tRNA + gly + atp ==> charged-glyY-tRNA + ppi + amp""]"	"[""Balanced.""]"	[null]	
charged-hisR-tRNA	tRNAhisR	hisR-tRNA	"[""CCO-CYTOSOL""]"	"[""HISTIDINE--TRNA-LIGASE-RXN""]"	"[[""HISS-CPLX""]]"	[null]	"[""[c]: h + hisR-tRNA + HIS + atp ==> charged-hisR-tRNA + ppi + amp""]"	"[""Balanced.""]"	[null]	
charged-ileT-tRNA	tRNAileT	ileT-tRNA	"[""CCO-CYTOSOL""]"	"[""ISOLEUCINE--TRNA-LIGASE-RXN""]"	"[[""ILES-MONOMER""]]"	[null]	"[""[c]: h + ileT-tRNA + ile-L + atp ==> charged-ileT-tRNA + ppi + amp""]"	"[""Balanced.""]"	[null]	
charged-ileU-tRNA	tRNAileU	ileU-tRNA	"[""CCO-CYTOSOL""]"	"[""ISOLEUCINE--TRNA-LIGASE-RXN""]"	"[[""ILES-MONOMER""]]"	[null]	"[""[c]: h + ileU-tRNA + ile-L + atp ==> charged-ileU-tRNA + ppi + amp""]"	"[""Balanced.""]"	[null]	
