"molecule id"	"lower bound (units.mmol / units.g / units.h)"	"upper bound (units.mmol / units.g / units.h)"
"ADP[c]"	3.15	3.15
"Pi[c]"	3.15	3.15
"PROTON[c]"	3.15	3.15
"GLC[p]"	NaN	20
"OXYGEN-MOLECULE[p]"	NaN	NaN
"AMMONIUM[c]"	NaN	NaN
"Pi[p]"	NaN	NaN
"K+[p]"	NaN	NaN
"SULFATE[p]"	NaN	NaN
"FE+2[p]"	NaN	NaN
"CA+2[p]"	NaN	NaN
"CL-[p]"	NaN	NaN
"CO+2[p]"	NaN	NaN
"MG+2[p]"	NaN	NaN
"MN+2[p]"	NaN	NaN
"NI+2[p]"	NaN	NaN
"ZN+2[p]"	NaN	NaN
"WATER[p]"	NaN	NaN
"CARBON-DIOXIDE[p]"	NaN	NaN
"CPD0-1958[p]"	NaN	NaN
"GLC-D-LACTONE[c]"	NaN	NaN
"CYTOSINE[c]"	NaN	NaN
"L-ALPHA-ALANINE[c]"	NaN	NaN
"ARG[c]"	NaN	NaN
"ASN[c]"	NaN	NaN
"L-ASPARTATE[c]"	NaN	NaN
"CYS[c]"	NaN	NaN
"GLT[c]"	NaN	NaN
"GLN[c]"	NaN	NaN
"GLY[c]"	NaN	NaN
"HIS[c]"	NaN	NaN
"ILE[c]"	NaN	NaN
"LEU[c]"	NaN	NaN
"LYS[c]"	NaN	NaN
"MET[c]"	NaN	NaN
"PHE[c]"	NaN	NaN
"PRO[c]"	NaN	NaN
"SER[c]"	NaN	NaN
"THR[c]"	NaN	NaN
"TRP[c]"	NaN	NaN
"TYR[c]"	NaN	NaN
"L-SELENOCYSTEINE[c]"	NaN	NaN
"VAL[c]"	NaN	NaN
