2-ACETO-LACTATE	alac-S					
3-HYDROXYPHENYL-PROPIONATE	3hpppn					
3-PHENYLPROPIONATE	pppn					
ACETYLSERINE	acser					
ACYL-COA	accoa					
ALLANTOIN	alltn					
ALLOLACTOSE	0	C12H22O11	C12H22O11	0	C12H22O11	0
ANTIMONITE	0	H3O3Sb	O3Sb	-3	O3Sb	-3
APS	aps					
ARABINOSE	arab-L					
ARG	arg-L					
ASN	asn-L					
ATP	atp					
BIO-5-AMP	0	C20H28N7O9PS	C20H27N7O9PS	-1	C20H27N7O9PS	-1
CAMP	camp					
CARNITINE	crn					
CHOLINE	chol					
CO+2	cobalt2					
CPD-10551	0	C5H9O7P	C5H7O7P	-2	C5H7O7P	-2
CPD-110	0	C7H6O3	C7H5O3	-1	C7H5O3	-1
CPD-12800	0	OHCl	OCl	-1	OCl	-1
CPD-207	phaccoa					
CPD-3	mobd					
CPD-6	0	S2Fe2	S2Fe2	0	S2Fe2	0
CPD-622	2mcit	C7H10O7	C7H7O7	-3	C7H7O7	-3
CPD-69	cyan					
CPD-763	aso3					
CPD-7970	0	C9H5N4Cl	C9H5N4Cl	0	C9H5N4Cl	0
CPD-8179	0	C6H6N2O5	C6H3N2O5	-3	C6H3N2O5	-3
CPD0-1938	0		C21H20N3	1	C21H20N3	1
CPD0-2342	0	C6H12O6R	C6H12O6R	0	C6H12O6R	0
CPD0-881	acmum6p					
CU+	cu2					
CYTIDINE	cytd					
D-SERINE	ser-D					
DIACETYLCHITOBIOSE-6-PHOSPHATE	0	C16H29N2O14P	C16H27N2O14P	-2	C16H27N2O14P	-2
DIHYDROXYPENTANEDIONE	dhptd					
FE+2	fe2					
FORMATE	for					
FRU1P	f1p					
FRUCTOSE-16-DIPHOSPHATE	fdp					
FRUCTURONATE	fruur					
FUCULOSE-1P	fc1p					
GALACTOSE	gal					
GLUCONATE	glcn					
GLY	gly					
GLYCEROL	glyc					
GLYCEROL-3P	glyc3p					
GLYCOLLATE	glyclt					
GLYOX	glx					
GUANOSINE-5DP-3DP	ppgpp					
HOMO-CYS	hcys-L					
HYPOXANTHINE	hxan					
L-ALPHA-ALANINE	ala-L					
L-ASCORBATE-6-PHOSPHATE	ascb6p					
L-LACTATE	lac-L					
LEU	leu-L					
LYS	lys-L					
MALTOTRIOSE	malttr					
MANNITOL	mnl					
MELIBIOSE	melib					
MN+2	mg2					
N-ACETYL-D-GLUCOSAMINE-6-P	6pgc					
N-ACETYLNEURAMINATE	acnam					
N-ETHYLMALEIMIDE	0	C6H7NO2	C6H7NO2	0	C6H7NO2	0
NA+	na1					
NI+2	ni2					
NITRIC-OXIDE	no					
PHE	phe-L					
PHOSPHO-ENOL-PYRUVATE	pep					
PYRUVATE	pyr					
RHAMNOSE	rmn					
RIBOSE	rib-D					
S-ADENOSYLMETHIONINE	amet					
S-ALLANTOIN	alltn					
SORBITOL	sbt-D					
TARTRATE	tartr-L					
THYMINE	thym					
TREHALOSE-6P	tre6p					
TRP	trp-L					
TYR	tyr-L					
URACIL	ura					
XANTHOSINE	xtsn					
XYLOSE	xyl-D					
ZN+2	zn2					
flvubrdrd	0	XH2	XH2	0	XH2	0
flvubrdox	0	X	X	0	X	0
LIPOIC-ACID	0					
AMP	amp					
PPI	ppi					
CARBON-DIOXIDE	co2					
TRIMENTHLAMINE-N-O	tmao					
THF	thf					
AMMONIA	nh4					
METHYLENE-THF	0					
CO-A	coa					
3-5-ADP	pap					
GLC-6-P	g6p					
ADP	adp					
CH33ADO	dad-2					
ALLOSE	all-D					
ACETYL-COA	accoa					
CARBAMOYL-P	cpb					
Pi	pi					
2-KETOGLUTARATE	akg					
CYS	cys-L					
UTP	utp					
METHYL-GLYOXAL	mthgxl					
PUTRESCINE	ptrc					
 2-3-DIHYDROXYBENZOATE	23dhb					
MET	met-L					
PROTON	h					
ILE	ile-L					
L-ASPARTATE	asp-L					
GLN	gln-L					
GLUTAMATE-1-SEMIALDEHYDE	glu1sa					
NADP	nadp					
NADPH	nadph					
SER	ser-L					
PRO	pro-L					
THR	thr-L					
VAL	val-L					
SEPO3	selnp					
WATER	h2o					
DADP	dadp					
XDP	xdp					
UDP	udp					
IDP	idp					
DGDP	dgdp					
CDP	cdp					
BIOTIN	btn					
CYSTINE	cys-L					
SUC-COA	succoa					
NAD	nadp					
NADH	nadh					
PRECURSOR-Z	+	C10H12N5O7P	C10H11N5O7P	-1	C10H11N5O7P	-1
CPD-4	+	C10H13N5O6PS2	C10H11N5O6PS2	-2	C10H11N5O6PS2	-2
CPD0-1032	+	C6H14N2O2	C6H15N2O2	1	C6H15N2O2	1
DUDP	dudp					
PROTEIN-LIPOYLLYSINE						
ARSENATE	+	H3O4As	HO4As	-2	HO4As	-2
CPD0-1564	+	C6H12N2O4S2	C6H12N2O4S2	0	C6H12N2O4S2	0
D-CYSTEINE	cys-D					
GDP	gdp					
CPD0-2231	didp					
DCDP	dcdp					
TDP	tdp					
DUTP	dutp					
